project_name,unit_title,price,location,listing_date,property_type,size,bedrooms,bathrooms,rental_period,description,language,keywords,facilities
,"4 Bedroom House for sale in Bandar Johor Bahru, Johor","RM538,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,N/A,4,3,,"This property is a 0 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM538,000 ().",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"4 Bedroom House for sale in Bandar Johor Bahru, Johor","RM430,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"1,540 Sqft",4,3,,"This property is a 1,540 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM430,000 (R...",en,"Property,Malaysia,For Sale",Garden Access
,"7 Bedroom House for sale in Labu, Negeri Sembilan","RM1,100,370","Labu, Seremban, Negeri Sembilan, Malaysia",,House,N/A,7,7,,"This property is a 0 Sqft house with 7 bedrooms and 7 bathrooms that is available for sale. It is located in Labu, Negeri Sembilan. You can buy this house for a base price of RM1,100,370 ().",en,"Property,Malaysia,For Sale",Office; Integral Kitchen; Service Room
,"3 Bedroom House for sale in Pulai, Johor","RM320,000","Pulai, Johor Bahru, Johor, Malaysia",,House,"11,625 Sqft",3,3,,"This property is a 11,625 Sqft house with 3 bedrooms and 3 bathrooms that is available for sale. It is located in Pulai, Johor. You can buy this house for a base price of RM320,000 (RM28/Sqft).",en,"Property,Malaysia,For Sale",
,"3 Bedroom Apartment for sale in Bandar Johor Bahru, Johor","RM250,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,Apartment,906 Sqft,3,2,,"This property is a 906 Sqft apartment with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this apartment for a base price of RM250,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"5 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM708,666","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,"3,042 Sqft",5,4,,"This property is a 3,042 Sqft house with 5 bedrooms and 4 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM708...",en,"Property,Malaysia,For Sale",
,"3 Bedroom House for sale in Kuala Lumpur, Kuala Lumpur","RM379,000","Kuala Lumpur, Kuala Lumpur, Kuala Lumpur, Malaysia",,House,840 Sqft,3,2,,"This property is a 840 Sqft house with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Kuala Lumpur, Kuala Lumpur. You can buy this house for a base price of RM379,000 (RM...",en,"Property,Malaysia,For Sale",
,"5 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM497,800","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,N/A,5,5,,"This property is a 0 Sqft house with 5 bedrooms and 5 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM497,800...",en,"Property,Malaysia,For Sale",Electricity; Fireplace; Heating
,"5 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM711,000","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,N/A,5,5,,"This property is a 0 Sqft house with 5 bedrooms and 5 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM711,000...",en,"Property,Malaysia,For Sale",Electricity; Yard; Water
,"5 Bedroom House for sale in Bandar Johor Bahru, Johor","RM2,500,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"86,111 Sqft",5,4,,"This property is a 86,111 Sqft house with 5 bedrooms and 4 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM2,500,000...",en,"Property,Malaysia,For Sale",Air Conditioning
,"3 Bedroom Apartment for sale in Bandar Johor Bahru, Johor","RM230,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,Apartment,912 Sqft,3,2,,"This property is a 912 Sqft apartment with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this apartment for a base price of RM230,...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"Condo for sale in Damansara, Selangor","RM269,000","Damansara, Petaling, Selangor, Malaysia",,Condo,700 Sqft,,,,"It is located in Damansara, Selangor. You can buy this condo for a base price of RM269,000 (RM383/Sqft).",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Apartment for sale in Bandar Johor Bahru, Johor","RM288,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,Apartment,N/A,2,2,,"This property is a 0 Sqft apartment with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this apartment for a base price of RM288,00...",en,"Property,Malaysia,For Sale",Garden Access
,"3 Bedroom House for sale in Bandar Johor Bahru, Johor","RM360,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"13,993 Sqft",3,2,,"This property is a 13,993 Sqft house with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM360,000 (...",en,"Property,Malaysia,For Sale",
,"3 Bedroom House for sale in Bandar Johor Bahru, Johor","RM360,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"13,993 Sqft",3,2,,"This property is a 13,993 Sqft house with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM360,000 (...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM400,000","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,N/A,4,4,,"This property is a 0 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM400,000...",en,"Property,Malaysia,For Sale",Fireplace; Heating; Yard
,"3 Bedroom House for sale in Bandar Johor Bahru, Johor","RM398,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"1,650 Sqft",3,2,,"This property is a 1,650 Sqft house with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM398,000 (R...",en,"Property,Malaysia,For Sale",Air Conditioning
,"3 Bedroom House for sale in Bandar Johor Bahru, Johor","RM490,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"1,300 Sqft",3,2,,"This property is a 1,300 Sqft house with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM490,000 (R...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"3 Bedroom House for sale in Bandar Johor Bahru, Johor","RM380,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"16,576 Sqft",3,2,,"This property is a 16,576 Sqft house with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM380,000 (...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM299,870","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,N/A,4,3,,"This property is a 0 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM299,870...",en,"Property,Malaysia,For Sale",Electricity; Fireplace; Heating
,"4 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM401,200","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,N/A,4,3,,"This property is a 0 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM401,200...",en,"Property,Malaysia,For Sale",Electricity; Office; Water
,"4 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM220,000","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,N/A,4,2,,"This property is a 0 Sqft house with 4 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM220,000...",en,"Property,Malaysia,For Sale",Electricity; Fireplace; Water
,"Land for sale in Bandar Melaka, Melaka","RM12,000,000","Bandar Melaka, Melaka Tengah Central Malacca, Melaka, Malaysia",,Land,"3,484,762 Sqft",,,,"This property is a 3,484,762 Sqft land plot that is available for sale. It is located in Bandar Melaka, Melaka. You can buy this land for a base price of RM12,000,000 (RM3/Sqft).",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Bandar Johor Bahru, Johor","RM438,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"1,300 Sqft",4,3,,"This property is a 1,300 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM438,000 (R...",en,"Property,Malaysia,For Sale",Garden Access
,"2 Bedroom Apartment for sale in Bandar Johor Bahru, Johor","RM320,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,Apartment,660 Sqft,2,2,,"This property is a 660 Sqft apartment with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this apartment for a base price...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"4 Bedroom Condo for sale in Bandar Johor Bahru, Johor","RM408,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,Condo,"1,700 Sqft",4,3,,"This property is a 1,700 Sqft condo with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this condo for a base price of RM408,000 (R...",en,"Property,Malaysia,For Sale",Air Conditioning
,"4 Bedroom House for sale in Bandar Johor Bahru, Johor","RM638,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,N/A,4,3,,"This property is a 0 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM638,000 ().",en,"Property,Malaysia,For Sale",
,"5 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM512,000","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,N/A,5,5,,"This property is a 0 Sqft house with 5 bedrooms and 5 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM512,000...",en,"Property,Malaysia,For Sale",Electricity; Fireplace; Rooftop Garden
,"3 Bedroom House for sale in Bandar Johor Bahru, Johor","RM450,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"1,540 Sqft",3,3,,"This property is a 1,540 Sqft house with 3 bedrooms and 3 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM450,000 (R...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"4 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM396,780","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,N/A,4,4,,"This property is a 0 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM396,780...",en,"Property,Malaysia,For Sale",Integral Kitchen; Jacuzzi; Garden Access
,"4 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM427,600","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,N/A,4,4,,"This property is a 0 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM427,600...",en,"Property,Malaysia,For Sale",Office; Service Room; Rooftop Garden
,"2 Bedroom Apartment for sale in Bandar Johor Bahru, Johor","RM379,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,Apartment,"1,010 Sqft",2,2,,"This property is a 1,010 Sqft apartment with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this apartment for a base price of RM37...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"4 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM230,000","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,N/A,4,2,,"This property is a 0 Sqft house with 4 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM230,000...",en,"Property,Malaysia,For Sale",Electricity; Fireplace; Heating
,"5 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM487,910","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,N/A,5,4,,"This property is a 0 Sqft house with 5 bedrooms and 4 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM487,910...",en,"Property,Malaysia,For Sale",Heating; Yard; Water
,"1 Bedroom Condo for sale in Bandar Johor Bahru, Johor","RM330,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,Condo,"6,458 Sqft",1,1,,"This property is a 6,458 Sqft condo with 1 bedroom and 1 bathroom that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this condo for a base price of ...",en,"Property,Malaysia,For Sale",Air Conditioning
,"2 Bedroom Condo for sale in Bandar Johor Bahru, Johor","RM600,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,Condo,816 Sqft,2,2,,"This property is a 816 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this condo for a base price of RM600,000 (RM7...",en,"Property,Malaysia,For Sale",
,"3 Bedroom Apartment for sale in Bandar Johor Bahru, Johor","RM95,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,Apartment,N/A,3,2,,"This property is a 0 Sqft apartment with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this apartment for a base price of RM95,000...",en,"Property,Malaysia,For Sale",
,"8 Bedroom House for sale in Bandar Johor Bahru, Johor","RM2,450,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"4,994 Sqft",8,8,,"This property is a 4,994 Sqft house with 8 bedrooms and 8 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM2,450,000...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"4 Bedroom House for sale in Bandar Johor Bahru, Johor","RM480,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"1,170 Sqft",4,1,,"This property is a 1,170 Sqft house with 4 bedrooms and 1 bathroom that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM480,000 (RM...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"4 Bedroom House for sale in Bandar Johor Bahru, Johor","RM618,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"1,300 Sqft",4,3,,"This property is a 1,300 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM618,000 (R...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"2 Bedroom Apartment for sale in Bandar Johor Bahru, Johor","RM430,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,Apartment,873 Sqft,2,2,,"This property is a 873 Sqft apartment with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this apartment for a base price...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"4 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM286,700","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,N/A,4,3,,"This property is a 0 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM286,700...",en,"Property,Malaysia,For Sale",Water; Service Room; Jacuzzi
,"4 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM396,788","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,N/A,4,4,,"This property is a 0 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM396,788...",en,"Property,Malaysia,For Sale",Heating; Yard; Jacuzzi
,"4 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM411,980","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,N/A,4,4,,"This property is a 0 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM411,980...",en,"Property,Malaysia,For Sale",Heating; Office; Integral Kitchen
,"4 Bedroom House for sale in Bandar Johor Bahru, Johor","RM448,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"13,455 Sqft",4,3,,"This property is a 13,455 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM448,000 (...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Bandar Johor Bahru, Johor","RM838,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"2,240 Sqft",4,4,,"This property is a 2,240 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM838,000 (R...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Bandar Johor Bahru, Johor","RM538,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"1,300 Sqft",4,3,,"This property is a 1,300 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM538,000 (R...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"4 Bedroom House for sale in Bandar Johor Bahru, Johor","RM545,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"16,576 Sqft",4,3,,"This property is a 16,576 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM545,000 (...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"4 Bedroom House for sale in Bandar Johor Bahru, Johor","RM515,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"1,200 Sqft",4,3,,"This property is a 1,200 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM515,000 (R...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM300,000","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,N/A,4,3,,"This property is a 0 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM300,000...",en,"Property,Malaysia,For Sale",Electricity; Fireplace; Heating
,"4 Bedroom House for sale in Bandar Johor Bahru, Johor","RM528,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"1,170 Sqft",4,4,,"This property is a 1,170 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM528,000 (R...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"5 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM500,000","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,N/A,5,5,,"This property is a 0 Sqft house with 5 bedrooms and 5 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM500,000...",en,"Property,Malaysia,For Sale",Electricity; Heating; Integral Kitchen
,"3 Bedroom Apartment for sale in Bandar Johor Bahru, Johor","RM378,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,Apartment,945 Sqft,3,2,,"This property is a 945 Sqft apartment with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this apartment for a base price of RM378,...",en,"Property,Malaysia,For Sale",Garden Access
,"3 Bedroom Apartment for sale in Bandar Johor Bahru, Johor","RM350,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,Apartment,"1,006 Sqft",3,2,,"This property is a 1,006 Sqft apartment with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this apartment for a base price of RM35...",en,"Property,Malaysia,For Sale",
,"3 Bedroom House for sale in Bandar Johor Bahru, Johor","RM519,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"3,040 Sqft",3,2,,"This property is a 3,040 Sqft house with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM519,000 (R...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"3 Bedroom House for sale in Tuaran, Sabah","RM428,000","Tuaran, Tuaran, Sabah, Malaysia",,House,N/A,3,3,,"This property is a 0 Sqft house with 3 bedrooms and 3 bathrooms that is available for sale. It is located in Tuaran, Sabah and was completed in Jan 2022. You can buy this house for a base pr...",en,"Property,Malaysia,For Sale",Electricity; Yard; Water
,"3 Bedroom Apartment for sale in Bandar Johor Bahru, Johor","RM188,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,Apartment,"8,686 Sqft",3,2,,"This property is a 8,686 Sqft apartment with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this apartment for a base price of RM18...",en,"Property,Malaysia,For Sale",
,"2 Bedroom Condo for sale in Bandar Johor Bahru, Johor","RM878,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,Condo,840 Sqft,2,2,,"This property is a 840 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this condo for a base price of RM878,000 (RM1...",en,"Property,Malaysia,For Sale",Air Conditioning
,"2 Bedroom Condo for sale in Bandar Johor Bahru, Johor","RM240,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,Condo,"6,900 Sqft",2,1,,"This property is a 6,900 Sqft condo with 2 bedrooms and 1 bathroom that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this condo for a base price of&nbs...",en,"Property,Malaysia,For Sale",
,"3 Bedroom Condo for sale in Bandar Johor Bahru, Johor","RM390,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,Condo,"1,100 Sqft",3,2,,"This property is a 1,100 Sqft condo with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this condo for a base price of RM390,000 (R...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"Condo for sale in Damansara, Selangor","RM259,000","Damansara, Petaling, Selangor, Malaysia",,Condo,800 Sqft,,,,"It is located in Damansara, Selangor. You can buy this condo for a base price of RM259,000 (RM323/Sqft).",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"3 Bedroom Apartment for sale in Plentong, Johor","RM1,700","Plentong, Johor Bahru, Johor, Malaysia",,Apartment,"1,000 Sqft",3,2,,"This property is a 1,000 Sqft apartment with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Plentong, Johor. You can buy this apartment for a base price of RM1,700 (RM2/S...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"3 Bedroom House for sale in Bandar Johor Bahru, Johor","RM315,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,850 Sqft,3,2,,"This property is a 850 Sqft house with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM315,000 (RM3...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"3 Bedroom Apartment for sale in Bandar Johor Bahru, Johor","RM340,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,Apartment,"1,235 Sqft",3,2,,"This property is a 1,235 Sqft apartment with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this apartment for a base price of RM34...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"3 Bedroom Condo for sale in Bandar Johor Bahru, Johor","RM232,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,Condo,880 Sqft,3,2,,"This property is a 880 Sqft condo with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this condo for a base price of RM232,000 (RM2...",en,"Property,Malaysia,For Sale",Air Conditioning
,"3 Bedroom House for sale in Bandar Johor Bahru, Johor","RM550,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"1,760 Sqft",3,3,,"This property is a 1,760 Sqft house with 3 bedrooms and 3 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM550,000 (R...",en,"Property,Malaysia,For Sale",Garden Access; Air Conditioning
,"3 Bedroom House for sale in Bandar Johor Bahru, Johor","RM450,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"30,139 Sqft",3,2,,"This property is a 30,139 Sqft house with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM450,000 (...",en,"Property,Malaysia,For Sale",
,"4 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM332,683","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,"2,538 Sqft",4,3,,"This property is a 2,538 Sqft house with 4 bedrooms and 3 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM332...",en,"Property,Malaysia,For Sale",
,"3 Bedroom House for sale in Bandar Johor Bahru, Johor","RM350,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,House,"1,980 Sqft",3,2,,"This property is a 1,980 Sqft house with 3 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this house for a base price of RM350,000 (R...",en,"Property,Malaysia,For Sale",Garden Access
,"4 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM277,000","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,N/A,4,2,,"This property is a 0 Sqft house with 4 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM277,000...",en,"Property,Malaysia,For Sale",Electricity; Fireplace; Heating
,"4 Bedroom House for sale in Bandar Seremban, Negeri Sembilan","RM510,800","Bandar Seremban, Seremban, Negeri Sembilan, Malaysia",,House,N/A,4,4,,"This property is a 0 Sqft house with 4 bedrooms and 4 bathrooms that is available for sale. It is located in Bandar Seremban, Negeri Sembilan. You can buy this house for a base price of RM510,800...",en,"Property,Malaysia,For Sale",Heating; Yard; Water
,"2 Bedroom Condo for sale in Bandar Johor Bahru, Johor","RM399,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,Condo,894 Sqft,2,2,,"This property is a 894 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this condo for a base price of RM399,000 (RM4...",en,"Property,Malaysia,For Sale",Air Conditioning
,"2 Bedroom Condo for sale in Bandar Johor Bahru, Johor","RM878,000","Bandar Johor Bahru, Johor Bahru, Johor, Malaysia",,Condo,840 Sqft,2,2,,"This property is a 840 Sqft condo with 2 bedrooms and 2 bathrooms that is available for sale. It is located in Bandar Johor Bahru, Johor. You can buy this condo for a base price of RM878,000 (RM1...",en,"Property,Malaysia,For Sale",Air Conditioning
